"date","БЕЖЕВИЙ","БІЛИЙ","ЖОВТИЙ","ЗЕЛЕНИЙ","КОРИЧНЕВИЙ","ОРАНЖЕВИЙ","СИНІЙ","СІРИЙ","ФІОЛЕТОВИЙ","ЧЕРВОНИЙ","ЧОРНИЙ"
"2017-01",2774,11724,1586,4975,1442,342,8347,18826,435,6447,12722
"2017-02",3190,13909,1764,6339,1776,437,10140,22110,560,8014,14753
"2017-03",4478,18539,2466,8249,2415,624,13572,28904,688,10799,19166
"2017-04",3960,16531,1965,7109,2142,508,12280,26290,622,9856,18217
"2017-05",4047,17220,1984,7586,2246,574,12609,26904,623,10301,18405
"2017-06",4034,17476,2018,7355,2133,575,12640,27013,686,10330,18967
"2017-07",4156,17361,1945,7406,2178,608,12880,27713,619,10556,19097
"2017-08",4338,17914,2348,7677,2241,637,13524,28655,650,10895,20196
"2017-09",4243,18821,2299,7621,2416,682,13351,28879,672,10703,20175
"2017-10",4060,17335,2076,7440,2293,569,12741,27705,572,10052,19120
"2017-11",4560,19278,2417,8439,2473,602,14031,30251,691,11104,20197
"2017-12",4584,19300,2147,8285,2571,550,13591,29647,652,10732,19785
"2018-01",3560,16481,2023,6734,2118,459,11205,25425,558,9039,17003
"2018-02",4102,16974,2130,7434,2052,568,11978,26679,558,9659,18033
