"date","БЕНЗИН","БЕНЗИН АБО ГАЗ","ГАЗ","ДИЗЕЛЬНЕ ПАЛИВО","ДИЗЕЛЬНЕ ПАЛИВО АБО ГАЗ","ЕЛЕКТРО","ЕЛЕКТРО АБО БЕНЗИН","ЕЛЕКТРО АБО ДИЗЕЛЬНЕ ПАЛИВО","НЕ ВИЗНАЧЕНО"
"2017-01",3407,398,2,6181,0,198,79,2,41
"2017-02",3593,471,1,7840,1,206,54,5,66
"2017-03",6431,583,2,10528,1,283,154,7,89
"2017-04",6612,529,1,10182,0,244,144,4,62
"2017-05",7403,573,1,10193,0,244,183,8,62
"2017-06",7903,554,4,9885,0,307,469,15,67
"2017-07",8046,646,2,10241,1,268,169,9,59
"2017-08",8616,575,6,10092,0,231,231,5,38
"2017-09",8964,422,1,10927,2,237,270,5,29
"2017-10",7179,525,9,11169,1,263,226,9,18
"2017-11",7164,610,7,11506,0,256,248,7,33
"2017-12",7344,694,28,12190,0,235,401,6,35
"2018-01",5970,691,2,8964,0,201,282,4,22
"2018-02",6076,581,5,9646,0,315,198,5,18
