"date","АР Крим","Вінницька","Волинська","Дніпропетровська","Донецька","Житомирська","Закарпатська","Запорізька","Івано-Франківська","Київ","Київська","Кіровоградська","Луганська","Львівська","Миколаївська","Одеська","Полтавська","Рівненська","Севастополь","Сумська","Тернопільська","Харківська","Херсонська","Хмельницька","Черкаська","Чернівецька","Чернігівська"
"2017-01",3,419,416,672,232,271,302,326,603,2153,673,181,110,1060,300,591,395,413,1,218,300,569,179,306,241,194,198
"2017-02",1,470,633,808,229,361,431,356,661,2422,766,230,122,1318,331,713,445,554,1,268,369,751,274,355,296,217,236
"2017-03",7,748,756,1314,554,531,532,553,858,3351,1136,367,156,1884,515,1076,783,812,2,456,625,1096,402,543,511,357,377
"2017-04",2,784,796,1307,543,518,461,477,866,3237,1037,408,202,1792,448,1055,808,853,1,411,595,1210,398,506,469,314,330
"2017-05",3,734,920,1114,637,585,531,582,800,3353,1008,421,250,1807,458,1050,797,928,0,539,544,1155,437,604,534,346,391
"2017-06",4,736,934,1210,722,617,541,562,946,3301,1115,393,242,1717,509,1123,818,910,0,556,563,1259,550,619,545,350,347
"2017-07",0,724,988,1213,467,609,579,501,898,3446,1182,430,224,1952,460,1114,1002,992,0,466,583,1256,473,653,515,311,421
"2017-08",2,762,1101,1194,816,638,599,591,982,3399,1056,396,194,1793,462,1184,1138,950,0,467,564,1174,476,658,465,381,381
"2017-09",5,765,1137,1386,638,635,590,616,916,3930,1132,451,174,1931,482,1264,1164,954,2,583,521,1248,427,675,541,408,396
"2017-10",5,735,1140,1361,507,596,725,578,884,3562,1107,400,195,1910,510,1228,775,892,1,477,585,1261,456,547,426,367,381
"2017-11",3,702,1142,1381,474,649,587,555,1041,3659,1097,549,180,2016,513,1198,822,960,2,471,478,1259,384,606,444,379,332
"2017-12",8,761,992,1350,491,616,587,638,990,4804,1037,448,191,2045,464,1206,769,815,1,410,578,1186,400,623,461,401,313
"2018-01",3,671,943,952,359,498,506,437,821,3221,898,280,147,1670,330,950,570,747,0,314,479,1039,281,460,394,290,245
"2018-02",5,680,975,1104,411,545,556,455,911,3311,1094,315,126,1766,308,1063,532,777,0,316,493,947,309,517,347,322,250
