"name","code","n"
Київ,"80",217798
Дніпропетровська область,"12",129112
Одеська область,"51",107095
Київська область,"32",100663
Харківська область,"63",97265
Львівська область,"46",94124
Донецька область,"14",76388
Запорізька область,"23",73117
Вінницька область,"05",70604
Полтавська область,"53",65608
Черкаська область,"71",52985
Хмельницька область,"68",52787
Житомирська область,"18",47205
Івано-Франківська область,"26",45280
Миколаївська область,"48",44895
Рівненська область,"56",44474
Волинська область,"07",43191
Тернопільська область,"61",42472
Кіровоградська область,"35",41739
Сумська область,"59",40266
Чернігівська область,"74",39622
Херсонська область,"65",37331
Закарпатська область,"21",32142
Луганська область,"44",29726
Чернівецька область,"73",29510
АР Крим,"01",892
Севастополь,"85",246
